-- EN-EN vocabulary file for the WORD SHOT game http://undrev.com/wordshot/
-- Contributors/credits: Undrev, ...
--
-- Some statistics (word's length : count; total words)
-- 3 :  198
-- 4 :  198
-- 5 :  198
-- 6 :  182
-- 7 :  163
-- 8 :  155
-- 9 :  157
-- 10 :  133
-- 11 :  118
-- 12 :  104
-- 13 :  84
-- TOTAL:  1690

abbreviation = abbreviation
ability = ability
absence = absence
absolution = absolution
academy = academy
acceleration = acceleration
acceptance = acceptance
accessibility = accessibility
accommodation = accommodation
accompanist = accompanist
account = account
accumulation = accumulation
accuracy = accuracy
achievement = achievement
acquaintance = acquaintance
acquiescence = acquiescence
acrobat = acrobat
acrobatics = acrobatics
act = act
action = action
activity = activity
actress = actress
adaptability = adaptability
adaptation = adaptation
address = address
adjustment = adjustment
administrator = administrator
admiral = admiral
advance = advance
advantage = advantage
advertisement = advertisement
advice = advice
aerodynamics = aerodynamics
aesthete = aesthete
aesthetics = aesthetics
age = age
agreement = agreement
agriculturist = agriculturist
aid = aid
aim = aim
air = air
aircraft = aircraft
airplane = airplane
airport = airport
algebra = algebra
allegiance = allegiance
allegory = allegory
alliance = alliance
allocation = allocation
ally = ally
almanac = almanac
alphabet = alphabet
alteration = alteration
altitude = altitude
alumnus = alumnus
amateur = amateur
ambassador = ambassador
ambition = ambition
amortization = amortization
amplification = amplification
analogy = analogy
analysis = analysis
anarchy = anarchy
anatomy = anatomy
ancestor = ancestor
announcement = announcement
anomaly = anomaly
answer = answer
ant = ant
antagonism = antagonism
antenna = antenna
anthropology = anthropology
anticipation = anticipation
apex = apex
apology = apology
apparel = apparel
appeal = appeal
appearance = appearance
appetite = appetite
applause = applause
appreciation = appreciation
apprentice = apprentice
approach = approach
approval = approval
apricot = apricot
aqualung = aqualung
aquarium = aquarium
arc = arc
architecture = architecture
area = area
argument = argument
arithmetic = arithmetic
arm = arm
army = army
arrangement = arrangement
arrival = arrival
arsenal = arsenal
art = art
article = article
assembly = assembly
assignment = assignment
assimilation = assimilation
assistance = assistance
assumption = assumption
asterisk = asterisk
astonishment = astonishment
athlete = athlete
atmosphere = atmosphere
atom = atom
attempt = attempt
attention = attention
attitude = attitude
attraction = attraction
aunt = aunt
authority = authority
authorization = authorization
autobiography = autobiography
automation = automation
automobile = automobile
autumn = autumn
aviator = aviator
axe = axe
axis = axis

baby = baby
bachelor = bachelor
back = back
background = background
bag = bag
bait = bait
balance = balance
ball = ball
band = band
bank = bank
bar = bar
barn = barn
base = base
basement = basement
basis = basis
bat = bat
bath = bath
battery = battery
battleground = battleground
bay = bay
beam = beam
bean = bean
bear = bear
bed = bed
bee = bee
beet = beet
beginning = beginning
behavior = behavior
belief = belief
bell = bell
belongings = belongings
belt = belt
benefactor = benefactor
benefit = benefit
bet = bet
bewilderment = bewilderment
bib = bib
bibliography = bibliography
bike = bike
bilberry = bilberry
bill = bill
bird = bird
birth = birth
birthday = birthday
bit = bit
bite = bite
blackberry = blackberry
blacksmith = blacksmith
blame = blame
blizzard = blizzard
block = block
bloodhound = bloodhound
board = board
boat = boat
body = body
bodybuilding = bodybuilding
bone = bone
book = book
bookcase = bookcase
bookkeeper = bookkeeper
bookworm = bookworm
boot = boot
border = border
boss = boss
bottom = bottom
bow = bow
bowl = bowl
box = box
boy = boy
brain = brain
branch = branch
bread = bread
break = break
breakfast = breakfast
breakthrough = breakthrough
breakwater = breakwater
breath = breath
bridesmaid = bridesmaid
bridge = bridge
brilliance = brilliance
broadcasting = broadcasting
brochure = brochure
brother = brother
brush = brush
bud = bud
bug = bug
building = building
bull = bull
bun = bun
bus = bus
bush = bush
business = business
butter = butter
buy = buy
buzz = buzz

calendar = calendar
call = call
camouflage = camouflage
campaign = campaign
can = can
cancellation = cancellation
cap = cap
capacity = capacity
capital = capital
car = car
card = card
care = care
caricature = caricature
carnival = carnival
case = case
cat = cat
category = category
cauldron = cauldron
cause = cause
center = center
century = century
challenge = challenge
champion = champion
chance = chance
chandelier = chandelier
change = change
character = character
charge = charge
chatterbox = chatterbox
check = check
cheek = cheek
cheque = cheque
chief = chief
child = child
children = children
chin = chin
choice = choice
church = church
cinderella = cinderella
cinema = cinema
circle = circle
circumference = circumference
circumstance = circumstance
city = city
civilization = civilization
claim = claim
class = class
classroom = classroom
clothes = clothes
club = club
clue = clue
coat = coat
cocktail = cocktail
cod = cod
coffee = coffee
cog = cog
collaboration = collaboration
collection = collection
colonization = colonization
color = color
combination = combination
comfort = comfort
command = command
comment = comment
commerce = commerce
commitment = commitment
communication = communication
community = community
company = company
comparison = comparison
compassion = compassion
compatibility = compatibility
compensation = compensation
complaint = complaint
completeness = completeness
complication = complication
composer = composer
comprehension = comprehension
compromise = compromise
computer = computer
concentration = concentration
concern = concern
conclusion = conclusion
concrete = concrete
condescension = condescension
condition = condition
confectioner = confectioner
confectionery = confectionery
confederation = confederation
confession = confession
confidence = confidence
configuration = configuration
confirmation = confirmation
conflict = conflict
confrontation = confrontation
congregation = congregation
connection = connection
consciousness = consciousness
conservation = conservation
conservatory = conservatory
consideration = consideration
consolidation = consolidation
constellation = constellation
constitution = constitution
construction = construction
consultant = consultant
consultation = consultation
consumer = consumer
contact = contact
container = container
contemplation = contemplation
content = content
contradiction = contradiction
contrast = contrast
contravention = contravention
control = control
conversation = conversation
conviction = conviction
cop = cop
copy = copy
corner = corner
cornucopia = cornucopia
correction = correction
correspondent = correspondent
