-- RU-EN vocabulary file for the WORD SHOT game http://undrev.com/wordshot/
-- Contributors/credits: Undrev, ...
--
-- Some statistics (word's length : count; total words)
-- 3 :  62
-- 4 :  171
-- 5 :  225
-- 6 :  196
-- 7 :  211
-- 8 :  180
-- 9 :  129
-- 10 :  115
-- 11 :  89
-- 12 :  81
-- 13 :  49
-- TOTAL:  1508

аббревиатура = abbreviation
абрикос = apricot
аванс = advance
автобиография = autobiography
автобус = bus
автоматизация = automation
автомобиль = car, automobile
агроном = agriculturist
адаптация = adaptation
администратор = administrator
адмирал = admiral
адрес = address
айсберг = iceberg
академия = academy
акваланг = aqualung
аквариум = aquarium
аккомпаниатор = accompanist
акробат = acrobat
акробатика = acrobatics
акт = act
актриса = actress
акцент = emphasis
акционер = stockholder
алгебра = algebra
алфавит = alphabet
альманах = almanac
альянс = alliance
амбар = barn
анализ = analysis
аналогия = analogy
ананас = pineapple
анархия = anarchy
анатомия = anatomy
анкета = questionnaire
аномалия = anomaly
анонс = announcement
антагонизм = antagonism
антенна = antenna
антропология = anthropology
апельсин = orange
аплодисменты = applause
аппетит = appetite
арбитр = moderator
арифметика = arithmetic
армия = army
арсенал = arsenal
архитектура = architecture
ассамблея = assembly
атлет = athlete
атмосфера = atmosphere
атом = atom
атрибутика = merchandise
афиша = notice
аэродинамика = aerodynamics
аэроплан = airplane
аэропорт = airport

бабушка = grandma
багаж = luggage
база = base
банк = bank
бар = bar
баран = ram
бархат = velvet
бассейн = pool
батарея = battery
бдительность = watch
бег = run
бегство = getaway
бедро = hip
безвестность = obscurity
беззаботность = insouciance
безмолвие = quiet
безопасность = safety
безразличие = indifference
бензин = petrol
беременность = pregnancy
беседа = talk
беседка = summerhouse
бесконечность = infinity
беспорядок = mess
бессмертие = immortality
бесстрашие = fearlessness
бетон = concrete
библиография = bibliography
библиотекарь = librarian
бидон = can
бизнес = business
билет = ticket
бита = bat
благодетель = benefactor
благополучие = welfare
блеск = brilliance, glitter
блок = block
блюдо = dish
богатство = wealth
болтун = chatterbox
боль = pain
больница = hospital
большинство = majority
боров = hog
босс = boss
бочонок = keg
брат = brother
бревно = log
брешь = gap
брошюра = brochure
брусника = whortleberry
брюки = trousers
будущее = future
буква = letter
булавка = pin
булочка = bun
бумага = paper
бумажник = wallet
бутон = bud
буфет = refreshment
бухгалтер = bookkeeper
бухта = bay
бык = bull

важность = importance
ваза = vase
вакансия = vacancy
вакуум = vacuum
вакцина = vaccine
ванна = bath
вариант = variant, option
введение = introduction
вдохновение = inspiration
век = century
веко = lid
великодушие = magnanimity
великолепие = magnificence
велосипед = bike
вена = vein
вентиль = valve
вентилятор = fan
вентиляция = ventilation
верность = allegiance, faithfulness
вероятность = probability
версия = version
вертолёт = helicopter
верхушка = apex
вершина = top
веселье = fun
весло = oar
весна = spring
вестник = messenger
ветер = wind
ветеринар = veterinarian
веха = milestone
вечер = evening
вечность = eternity
вешалка = peg
вещество = substance
вещи = belongings
вещь = thing
вибрация = vibration
вид = view
видение = vision
викторина = quiz
вилка = fork
вкус = taste
владение = possession, hold
власть = authority
влияние = influence
вместимость = capacity
внимание = attention
внук = grandson
внучка = granddaughter
вода = water
водоворот = whirlpool, maelstrom
водолаз = diver
водопад = waterfall
водород = hydrogen
воздух = air
возмещение = compensation, indemnity
возможность = opportunity, possibility
возражение = objection
возраст = age
возрастание = increase
воин = warrior
война = war
волк = wolf
волна = wave
волнение = excitement
волнорез = breakwater
волосы = hair
воля = will
воображение = imagination
воплощение = incarnation
вопль = yell
вопрос = question
ворота = gate
ворчание = grumble
воспитанник = alumnus
воспоминание = reminiscence
впечатление = impression
враг = enemy
врач = doctor
время = time
вселенная = universe
вскипание = effervescence
вулкан = volcano
вход = entrance
вхождение = entry
вчера = yesterday
выбор = choice
вывод = conclusion
выгода = benefit
выдумка = fib
выздоровление = recovery
вызов = call
выключатель = switch
выражение = expression
высота = height, altitude
выставка = exhibition
выступ = jut
вытеснение = displacement
выход = exit
вьюга = blizzard
вяз = elm

гадюка = viper
газ = gas
газета = newspaper
галерея = gallery
галлюцинация = hallucination
гамак = hammock
гарантия = guaranty
гармония = harmony
гарпун = harpoon
географ = geographer
геология = geology
геометрия = geometry
гербарий = herbarium
гигиена = hygiene
гид = guide
гидросамолёт = hydroplane
гипотеза = hypothesis
гиппопотам = hippopotamus
глаз = eye
глубина = depth
год = year
голова = head
голос = voice
гонорар = fee
гордость = pride
горец = highlander
горизонт = horizon
город = city, town
горох = pea
горшок = pot
господин = mister
господство = domination
гостиница = inn
градус = degree
градусник = thermometer
грамматика = grammar
граница = border, frontier
гроза = thunderstorm
