-- RU-RU vocabulary file for the WORD SHOT game http://undrev.com/wordshot/
-- Contributors/credits: Undrev, ...
--
-- Some statistics (word's length : count; total words)
-- 3 :  62
-- 4 :  171
-- 5 :  225
-- 6 :  196
-- 7 :  211
-- 8 :  180
-- 9 :  129
-- 10 :  115
-- 11 :  89
-- 12 :  81
-- 13 :  49
-- TOTAL:  1508

аббревиатура = аббревиатура
абрикос = абрикос
аванс = аванс
автобиография = автобиография
автобус = автобус
автоматизация = автоматизация
автомобиль = автомобиль
агроном = агроном
адаптация = адаптация
администратор = администратор
адмирал = адмирал
адрес = адрес
айсберг = айсберг
академия = академия
акваланг = акваланг
аквариум = аквариум
аккомпаниатор = аккомпаниатор
акробат = акробат
акробатика = акробатика
акт = акт
актриса = актриса
акцент = акцент
акционер = акционер
алгебра = алгебра
алфавит = алфавит
альманах = альманах
альянс = альянс
амбар = амбар
анализ = анализ
аналогия = аналогия
ананас = ананас
анархия = анархия
анатомия = анатомия
анкета = анкета
аномалия = аномалия
анонс = анонс
антагонизм = антагонизм
антенна = антенна
антропология = антропология
апельсин = апельсин
аплодисменты = аплодисменты
аппетит = аппетит
арбитр = арбитр
арифметика = арифметика
армия = армия
арсенал = арсенал
архитектура = архитектура
ассамблея = ассамблея
атлет = атлет
атмосфера = атмосфера
атом = атом
атрибутика = атрибутика
афиша = афиша
аэродинамика = аэродинамика
аэроплан = аэроплан
аэропорт = аэропорт

бабушка = бабушка
багаж = багаж
база = база
банк = банк
бар = бар
баран = баран
бархат = бархат
бассейн = бассейн
батарея = батарея
бдительность = бдительность
бег = бег
бегство = бегство
бедро = бедро
безвестность = безвестность
беззаботность = беззаботность
безмолвие = безмолвие
безопасность = безопасность
безразличие = безразличие
бензин = бензин
беременность = беременность
беседа = беседа
беседка = беседка
бесконечность = бесконечность
беспорядок = беспорядок
бессмертие = бессмертие
бесстрашие = бесстрашие
бетон = бетон
библиография = библиография
библиотекарь = библиотекарь
бидон = бидон
бизнес = бизнес
билет = билет
бита = бита
благодетель = благодетель
благополучие = благополучие
блеск = блеск
блок = блок
блюдо = блюдо
богатство = богатство
болтун = болтун
боль = боль
больница = больница
большинство = большинство
боров = боров
босс = босс
бочонок = бочонок
брат = брат
бревно = бревно
брешь = брешь
брошюра = брошюра
брусника = брусника
брюки = брюки
будущее = будущее
буква = буква
булавка = булавка
булочка = булочка
бумага = бумага
бумажник = бумажник
бутон = бутон
буфет = буфет
бухгалтер = бухгалтер
бухта = бухта
бык = бык

важность = важность
ваза = ваза
вакансия = вакансия
вакуум = вакуум
вакцина = вакцина
ванна = ванна
вариант = вариант
введение = введение
вдохновение = вдохновение
век = век
веко = веко
великодушие = великодушие
великолепие = великолепие
велосипед = велосипед
вена = вена
вентиль = вентиль
вентилятор = вентилятор
вентиляция = вентиляция
верность = верность
вероятность = вероятность
версия = версия
вертолёт = вертолёт
верхушка = верхушка
вершина = вершина
веселье = веселье
весло = весло
весна = весна
вестник = вестник
ветер = ветер
ветеринар = ветеринар
веха = веха
вечер = вечер
вечность = вечность
вешалка = вешалка
вещество = вещество
вещи = вещи
вещь = вещь
вибрация = вибрация
вид = вид
видение = видение
викторина = викторина
вилка = вилка
вкус = вкус
владение = владение
власть = власть
влияние = влияние
вместимость = вместимость
внимание = внимание
внук = внук
внучка = внучка
вода = вода
водоворот = водоворот
водолаз = водолаз
водопад = водопад
водород = водород
воздух = воздух
возмещение = возмещение
возможность = возможность
возражение = возражение
возраст = возраст
возрастание = возрастание
воин = воин
война = война
волк = волк
волна = волна
волнение = волнение
волнорез = волнорез
волосы = волосы
воля = воля
воображение = воображение
воплощение = воплощение
вопль = вопль
вопрос = вопрос
ворота = ворота
ворчание = ворчание
воспитанник = воспитанник
воспоминание = воспоминание
впечатление = впечатление
враг = враг
врач = врач
время = время
вселенная = вселенная
вскипание = вскипание
вулкан = вулкан
вход = вход
вхождение = вхождение
вчера = вчера
выбор = выбор
вывод = вывод
выгода = выгода
выдумка = выдумка
выздоровление = выздоровление
вызов = вызов
выключатель = выключатель
выражение = выражение
высота = высота
выставка = выставка
выступ = выступ
вытеснение = вытеснение
выход = выход
вьюга = вьюга
вяз = вяз

гадюка = гадюка
газ = газ
газета = газета
галерея = галерея
галлюцинация = галлюцинация
гамак = гамак
гарантия = гарантия
гармония = гармония
гарпун = гарпун
географ = географ
геология = геология
геометрия = геометрия
гербарий = гербарий
гигиена = гигиена
гид = гид
гидросамолёт = гидросамолёт
гипотеза = гипотеза
гиппопотам = гиппопотам
глаз = глаз
глубина = глубина
год = год
голова = голова
голос = голос
гонорар = гонорар
гордость = гордость
горец = горец
горизонт = горизонт
город = город
горох = горох
горшок = горшок
господин = господин
господство = господство
гостиница = гостиница
градус = градус
градусник = градусник
грамматика = грамматика
граница = граница
гроза = гроза
грохот = грохот
группа = группа
губа = губа
гул = гул

давление = давление
дата = дата
дверь = дверь
движение = движение
дедушка = дедушка
действие = действие
декларация = декларация
делегация = делегация
деление = деление
дело = дело
демонстрация = демонстрация
день = день
деньги = деньги
деревня = деревня
дерзость = дерзость
десна = десна
деталь = деталь
дети = дети
детёныш = детёныш
деятельность = деятельность
диалог = диалог
диаметр = диаметр
диван = диван
дизайн = дизайн
дизайнер = дизайнер
дипломат = дипломат
директор = директор
дискуссия = дискуссия
диспропорция = диспропорция
диссертация = диссертация
дисциплина = дисциплина
длина = длина
